-2.24,-2.24,-2.24,-2.24,-2.55,-2.55,-2.55,-2.55,-8.93,-8.93,-8.93,-8.93,-2.7,-2.7,-2.7,-2.7,2.95,2.95,2.95,2.95,-3.03,-3.03,-3.03,-3.03,7,7,7,-5.17,-5.17,-5.17
-12.07,-12.07,-12.07,-12.07,4.68,4.68,4.68,4.68,-3.21,-3.21,-3.21,-3.21,2.1,2.1,2.1,2.1,-0.68,-0.68,-0.68,-0.68,-5.68,-5.68,-5.68,-5.68,5.08,5.08,5.08,-3.98,-3.98,-3.98
-8.09,-8.09,-8.09,-8.09,11.91,11.91,11.91,11.91,2.5,2.5,2.5,2.5,6.9,6.9,6.9,6.9,-4.32,-4.32,-4.32,-4.32,-8.34,-8.34,-8.34,-8.34,3.15,3.15,3.15,-2.8,-2.8,-2.8
1.75,1.75,1.75,1.75,10.86,10.86,10.86,10.86,8.21,8.21,8.21,8.21,11.7,11.7,11.7,11.7,-7.95,-7.95,-7.95,-7.95,-10.99,-10.99,-10.99,-10.99,1.23,1.23,1.23,-1.61,-1.61,-1.61
11.58,11.58,11.58,11.58,3.63,3.63,3.63,3.63,13.93,13.93,13.93,13.93,13.5,13.5,13.5,13.5,-11.59,-11.59,-11.59,-11.59,-13.65,-13.65,-13.65,-13.65,-0.69,-0.69,-0.69,-0.43,-0.43,-0.43
8.58,8.58,8.58,8.58,-3.6,-3.6,-3.6,-3.6,10.36,10.36,10.36,10.36,8.7,8.7,8.7,8.7,-14.77,-14.77,-14.77,-14.77,-13.7,-13.7,-13.7,-13.7,-2.62,-2.62,-2.62,0.76,0.76,0.76
-1.25,-1.25,-1.25,-1.25,-10.83,-10.83,-10.83,-10.83,4.64,4.64,4.64,4.64,3.9,3.9,3.9,3.9,-11.14,-11.14,-11.14,-11.14,-11.04,-11.04,-11.04,-11.04,-4.54,-4.54,-4.54,1.94,1.94,1.94
-11.09,-11.09,-11.09,-11.09,-11.95,-11.95,-11.95,-11.95,-1.07,-1.07,-1.07,-1.07,-0.9,-0.9,-0.9,-0.9,-7.5,-7.5,-7.5,-7.5,-8.39,-8.39,-8.39,-8.39,-6.46,-6.46,-6.46,3.13,3.13,3.13
-9.07,-9.07,-9.07,-9.07,-4.72,-4.72,-4.72,-4.72,-6.79,-6.79,-6.79,-6.79,-5.7,-5.7,-5.7,-5.7,-3.86,-3.86,-3.86,-3.86,-5.73,-5.73,-5.73,-5.73,-8.38,-8.38,-8.38,4.32,4.32,4.32
0.76,0.76,0.76,0.76,2.51,2.51,2.51,2.51,-12.5,-12.5,-12.5,-12.5,-10.5,-10.5,-10.5,-10.5,-0.23,-0.23,-0.23,-0.23,-3.08,-3.08,-3.08,-3.08,-10.31,-10.31,-10.31,5.5,5.5,5.5
